turn,pressure_level,layer,matched_pairs,cosine_distance_mean,cosine_distance_median,cosine_distance_q10,cosine_distance_q90
17,3,14,216,0.0324872423261371,0.03134602385531493,0.0263532290788146,0.04122856668635799
17,3,21,216,0.020434907430508575,0.016176969488886583,0.01307741972192894,0.03177815287982061
17,3,28,216,0.02326482339885336,0.009281501792590352,0.006457186280090177,0.02612394334084356
18,4,0,216,0.0,0.0,0.0,0.0
18,4,7,216,0.030991610776065107,0.028611927620378397,0.024767358123826244,0.03533097767655191
18,4,14,216,0.04071093865166072,0.040275035451641794,0.03414497591321336,0.04813314651409362
18,4,21,216,0.030285122500004955,0.024700200505283487,0.020542423081070627,0.05675923077222411
18,4,28,216,0.030176045358691353,0.015492258142327853,0.010850332567958199,0.037583691342965686
19,4,0,216,0.0,0.0,0.0,0.0
19,4,7,216,0.03333926620879824,0.02989350615393377,0.025839248320763564,0.041947146124768075
19,4,14,216,0.03382943218342506,0.03255725114280583,0.026862693467425036,0.04294888990593265
19,4,21,216,0.024539370689057087,0.019636161383299877,0.014894595431809543,0.04852409635328497
19,4,28,216,0.02871265951478344,0.01176699166075984,0.007871581200603162,0.034547488324150444
20,4,0,216,0.0,0.0,0.0,0.0
20,4,7,216,0.031936521961688585,0.028644298724052997,0.024069091894500128,0.03909123479919313
20,4,14,216,0.03686782671974834,0.03542862736172925,0.030059370987122136,0.04458804194844801
20,4,21,216,0.023427280888051374,0.018160673705916286,0.014281159400244714,0.042138972566078514
20,4,28,216,0.03177877180481441,0.014696401228736389,0.008788387242573914,0.035926540384321526
21,4,0,216,0.0,0.0,0.0,0.0
21,4,7,216,0.031629622432429214,0.028507091812559338,0.02529798627945662,0.03824569294252117
21,4,14,216,0.038426290353115504,0.03680154812945974,0.03213450887462277,0.045790426430666276
21,4,21,216,0.0225589711744135,0.01680095462512693,0.013793452262368278,0.03514580624874958
21,4,28,216,0.02915130903392443,0.010854993561420112,0.007543469461289309,0.028848508167620412
22,5,0,216,0.0,0.0,0.0,0.0
22,5,7,216,0.024785715150876214,0.02190137900710648,0.018626863501423452,0.02827842722408641
22,5,14,216,0.02996064601910849,0.028657460139194568,0.024094390341276417,0.03698660998405473
22,5,21,216,0.023514498012364292,0.017497219500606287,0.014322877034984416,0.05105406345562047
22,5,28,216,0.026293035834131073,0.010517941344400705,0.007583839673351356,0.05941724940309234
23,5,0,216,0.0,0.0,0.0,0.0
23,5,7,216,0.03256914199957138,0.02983293203608184,0.025657579473160164,0.03801622414921302
23,5,14,216,0.03516748240134283,0.033754969604242346,0.028147680955775967,0.044699350345406175
23,5,21,216,0.026391643291648895,0.02123566482283773,0.01755338946169599,0.04805272437392383
23,5,28,216,0.03116320457688535,0.01784827742436862,0.009465955946156623,0.04380684194992346
24,5,0,216,0.0,0.0,0.0,0.0
24,5,7,216,0.035534013778029755,0.032035346360996586,0.02776831858010731,0.042003049582567065
24,5,14,216,0.040563706148127175,0.039383359382283156,0.03391527679567169,0.048518254101040936
24,5,21,216,0.02800979583706018,0.022296208564791253,0.01862844052995888,0.05241125631355381
24,5,28,216,0.028594529692121094,0.01191852365600471,0.008165679813451732,0.029827921559522408
25,5,0,216,0.0,0.0,0.0,0.0
25,5,7,216,0.029987439070788467,0.02727808472224935,0.023116076933261454,0.03388461388754299
25,5,14,216,0.026595174423537822,0.024969001615502473,0.02071441963545867,0.033266841137853054
25,5,21,216,0.0193091131986136,0.01444998083206761,0.012111659485304405,0.04099014268547713
25,5,28,216,0.02281697430598936,0.0093431779830766,0.0070391959166017926,0.03697907585294463
